cgpa,Branch,Coding Languages you are proficient in:,English Written:,English Spoken:,Quantitative Aptitude:,Number of Projects:,Number of Publications/Research Paper(If Any):,Any Extra/Other Skills:,Company Name :,Company Name(If placed and profile),Internship Experience (The number of internship  and company name):,Number of Backlogs,Events Organised:,numberofcodinglanguage,numberproject,numberextraskill,numberinternship,numberevents,numberbranch,numberenglishwritten,numberenglishspoken,numberquantativeaptitude,numbercompany
9.14,CSE,C;C++;JAVA,Very Good,Very Good,Good,2,0,Web Development;Blockchain;Management skills,unplaced,None,1 Wipro Limited,0,1,3,2,3,1,1,2,4,4,3,2
8.91,CSE,C;C++;JAVA,Good,Good,Good,5,0,Android;Big Data,unplaced,,2 Aakar and TCS,0,,3,5,2,2,0,2,3,3,3,2
6.56,CSE,C;C++;Python,Average,Good,Average,3,0,Machine Learning;Blockchain;Matlab,unplaced,,1. Giscle Systems ,0,,3,3,3,1,0,2,2,2,2,2
7.52,CSE,C;C++;JAVA,Very Good,Very Good,Good,3,0,Android;Web Development;Art and Crafts,unplaced,,,0,2 to 3,3,3,4,0,3,2,4,4,3,2
9.02,CSE,C;C++;JAVA,Excellent,Excellent,Good,2,0,Android;Web Development,unplaced,,,0,,3,2,2,0,0,2,5,5,3,2
8.77,CSE,C;JAVA,Average,Average,Very Good,2,0,Android,unplaced,,,0,,2,2,1,0,0,2,2,2,4,2
8.82,CSE,C;C++,Good,Good,Good,2,0,Web Development,unplaced,,,0,,2,2,1,0,0,2,3,3,3,2
6.23,CSE,C;C++;JAVA;R,Very Good,Average,Very Good,1,0,Android;Big Data,unplaced,,1 BSNL,0,No,4,1,2,1,0,2,4,2,4,2
7.77,CSE,C;C++,Good,Good,Good,4,1,Machine Learning;Computer Vision,unplaced,,"1,Jadavpur University. ",0,,2,4,2,1,0,2,3,3,3,2
7.83,CSE,C;JAVA,Very Good,Good,Very Good,2,0,Android;Big Data,unplaced,,,0,KIIT fest,2,2,2,0,1,2,4,3,4,2
9.53,CSE,C;C++;JAVA;R,Very Good,Very Good,Good,2,0,Android;Web Development,placed,Deloitte  EAG,1 GreenDoorGlobal,0,,4,2,2,1,0,2,4,4,3,1
6.36,CSE,JAVA;Python,Good,Good,Average,3,0,Android,unplaced,,,0,ron,2,3,1,0,1,2,3,2,2,2
8.02,CSE,C;C++;JAVA;Python,Very Good,Very Good,Very Good,2,0,Machine Learning;Android;Matlab,placed,Tek Systems(Software Developer) ,0,0,0,4,2,3,0,0,2,4,4,4,1
6.6,CSE,C;Python,Good,Good,Average,1,0,Nothing,unplaced,,,0,,2,1,0,0,0,2,3,2,2,2
8.1,CSE,C;C++;Python,Very Good,Very Good,Good,2,1,Digital designing ,unplaced,,,0,,3,2,1,0,0,2,4,4,3,2
7.21,CSE,C;JAVA,Very Good,Very Good,Very Good,3,0,Android,placed,Deloitte ,"Done intership in Android from Hindalco Industries , Renusagar (The Aditya Birla Group)",0,None,2,3,1,2,0,2,4,4,4,1
